Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Image Src,Image Position
lab-grown-diamond-ring-0001,Lab Grown Diamond Ring Model 0001,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,12,SKU-LA-RI-0001,13,74010,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0001,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0001,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0001,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0001,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0002,Lab Grown Diamond Ring Model 0002,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,14,SKU-LA-RI-0002,6,75318,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0002,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0002,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0002,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0002,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0003,Lab Grown Diamond Ring Model 0003,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,12,SKU-LA-RI-0003,19,32168,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0003,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0003,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0003,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0003,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0004,Lab Grown Diamond Ring Model 0004,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,10,SKU-LA-RI-0004,4,48688,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0004,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0004,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0004,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0004,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0005,Lab Grown Diamond Ring Model 0005,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0005,20,34325,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0005,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0005,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0005,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0005,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0006,Lab Grown Diamond Ring Model 0006,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,15,SKU-LA-RI-0006,20,36464,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0006,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0006,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0006,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0006,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0007,Lab Grown Diamond Ring Model 0007,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,14,SKU-LA-RI-0007,15,148340,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0007,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0007,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0007,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0007,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0008,Lab Grown Diamond Ring Model 0008,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,13,SKU-LA-RI-0008,8,136253,,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0008,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
lab-grown-diamond-ring-0008,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+2,3
lab-grown-diamond-ring-0008,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+3,4
lab-grown-diamond-ring-0008,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+4,5
lab-grown-diamond-ring-0009,Lab Grown Diamond Ring Model 0009,<p>Exquisite lab grown diamond ring designed for elegance and durability.</p>,Demo Brand,Apparel & Accessories > Jewelry,Ring,"Lab Grown Diamond, Ring, Demo",TRUE,Size,16,SKU-LA-RI-0009,7,116606,136228,https://placehold.co/800x800/f0f0f0/333333.png?text=Lab+Grown+Diamond+Main,1
lab-grown-diamond-ring-0009,,,,,,,,,,,,,,https://placehold.co/800x800/ffffff/555555.png?text=Lab+Grown+Diamond+Angle+1,2
