Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Status
sample-custom-diamond-ring,Sample Custom Diamond Ring,,,,,,,Metal Color,Rose Gold,Gold Purity,9kt,Diamond Quality,F-G VS-SI,,,shopify,10,deny,manual,61125,,TRUE,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,active
sample-custom-diamond-ring,,,,,,,,Metal Color,Rose Gold,Gold Purity,9kt,Diamond Quality,F-G SI-I,,,shopify,10,deny,manual,56125,,TRUE,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,
sample-custom-diamond-ring,,,,,,,,Metal Color,Rose Gold,Gold Purity,9kt,Diamond Quality,G-H VS-SI,,,shopify,10,deny,manual,56125,,TRUE,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,
sample-custom-diamond-ring,,,,,,,,Metal Color,Rose Gold,Gold Purity,9kt,Diamond Quality,G-H SI-I,,,shopify,10,deny,manual,51125,,TRUE,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,
sample-custom-diamond-ring,,,,,,,,Metal Color,Rose Gold,Gold Purity,9kt,Diamond Quality,H-I VS-SI,,,shopify,10,deny,manual,19325,,TRUE,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,
sample-custom-diamond-ring,,,,,,,,Metal Color,Rose Gold,Gold Purity,9kt,Diamond Quality,H-I SI-I,,,shopify,10,deny,manual,44125,,TRUE,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,
sample-custom-diamond-ring,,,,,,,,Metal Color,Rose Gold,Gold Purity,9kt,Diamond Quality,I-J VS-SI,,,shopify,10,deny,manual,18225,,TRUE,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,
sample-custom-diamond-ring,,,,,,,,Metal Color,Rose Gold,Gold Purity,9kt,Diamond Quality,I-J SI-I,,,shopify,10,deny,manual,18125,,TRUE,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,
sample-custom-diamond-ring,,,,,,,,Metal Color,Rose Gold,Gold Purity,14kt,Diamond Quality,F-G VS-SI,,,shopify,10,deny,manual,68405,,TRUE,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,
sample-custom-diamond-ring,,,,,,,,Metal Color,Rose Gold,Gold Purity,14kt,Diamond Quality,F-G SI-I,,,shopify,10,deny,manual,63405,,TRUE,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,
