Handle,Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Product Metafield: custom.gross_weight,Product Metafield: custom.net_weight,Product Metafield: custom.diamond_weight,Product Metafield: custom.stone_weight,Variant Metafield: custom.gold_value,Variant Metafield: custom.diamond_value,Variant Metafield: custom.making_charges,Variant Metafield: custom.gst_amount
diamond-ring-01,Elegant Diamond Ring,<p>A beautiful ring.</p>,Swastik Jewellers,Gold Color,Yellow Gold,Gold Purity,18kt,Diamond Quality,F-G VS-SI,SKU-18-Y-F-GVS-SI,168405,15,14.25,1.75,0.5,71250,78750,1000,4905
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,18kt,Diamond Quality,F-G SI-I,SKU-18-Y-F-GSI-I,159392,,,,,71250,70000,1000,4642
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,18kt,Diamond Quality,G-H VS-SI,SKU-18-Y-G-HVS-SI,159392,,,,,71250,70000,1000,4642
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,18kt,Diamond Quality,G-H SI-I,SKU-18-Y-G-HSI-I,150380,,,,,71250,61250,1000,4380
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,18kt,Diamond Quality,H-I VS-SI,SKU-18-Y-H-IVS-SI,144972,,,,,71250,56000,1000,4222
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,18kt,Diamond Quality,H-I SI-I,SKU-18-Y-H-ISI-I,137762,,,,,71250,49000,1000,4012
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,18kt,Diamond Quality,I-J VS-SI,SKU-18-Y-I-JVS-SI,125145,,,,,71250,36750,1000,3645
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,18kt,Diamond Quality,I-J SI-I,SKU-18-Y-I-JSI-I,123342,,,,,71250,35000,1000,3592
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,14kt,Diamond Quality,F-G VS-SI,SKU-14-Y-F-GVS-SI,153728,,,,,57000,78750,1000,4478
diamond-ring-01,,,,Gold Color,Yellow Gold,Gold Purity,14kt,Diamond Quality,F-G SI-I,SKU-14-Y-F-GSI-I,144715,,,,,57000,70000,1000,4215
